url,name,ingredients
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,oil
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,garlic
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,onion
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,ginger
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,garam masala
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,channa masala spice mix
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,tomato
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,water
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,garbanzo bean
https://www.allrecipes.com/recipe/46372/indian-chickpeas/,Indian Chickpeas,salt
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,paprika
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,chili powder
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,curry powder
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,ground cumin
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,powder
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,ground turmeric
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,ground cardamom
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,ground coriander
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,onion powder
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,mustard
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,fennel seed
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,garam masala
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,sage
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,salt
https://www.allrecipes.com/recipe/222775/indian-chicken-rub/,Indian Chicken Rub,ground ginger
https://www.allrecipes.com/recipe/79159/indian-spiced-rice-treats/,Indian Spiced Rice Treats,butter
https://www.allrecipes.com/recipe/79159/indian-spiced-rice-treats/,Indian Spiced Rice Treats,marshmallow
https://www.allrecipes.com/recipe/79159/indian-spiced-rice-treats/,Indian Spiced Rice Treats,crispy rice cereal
https://www.allrecipes.com/recipe/79159/indian-spiced-rice-treats/,Indian Spiced Rice Treats,ground cardamom
https://www.allrecipes.com/recipe/79159/indian-spiced-rice-treats/,Indian Spiced Rice Treats,cashew nut
https://www.allrecipes.com/recipe/79159/indian-spiced-rice-treats/,Indian Spiced Rice Treats,raisin
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,dal
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,oil
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,ground turmeric
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,cumin seed
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,kale
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,chili powder
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,salt
https://www.allrecipes.com/recipe/278214/indian-kale-and-moong-dal/,Indian Kale and Moong Dal,water
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,oil
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,onion
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,garlic
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,ginger
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,serrano pepper
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,powder
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,ground cumin
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,ground coriander
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,garam masala
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,ground turmeric
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,tomato
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,ketchup
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,paneer
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,pea
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,whipping cream
https://www.allrecipes.com/recipe/106159/basic-indian-curry-with-paneer/,Basic Indian Curry with Paneer,cilantro
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",oil
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",onion
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",ground cumin
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",ground turmeric
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",ground coriander
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",chili powder
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",salt
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",potato
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",pea
https://www.allrecipes.com/recipe/86278/indian-carrots-peas-and-potatoes/,"Indian Carrots, Peas and Potatoes",water
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),garam masala
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),tandoori masala powder
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),curry powder
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),ground cumin
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),ground cardamom
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),ground cayenne pepper
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),salt
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),chicken thigh
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),butter
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),onion
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),lemon juice
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),garlic
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),ginger
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),tomato
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),half-and-half
https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,Indian Butter Chicken (Chicken Makhani),yogurt
